-3.693,43.123,4.998
-3.921,43.524,4.997
-4.153,43.928,4.996
-4.388,44.336,4.998
-4.626,44.748,4.996
-4.868,45.162,4.985
-5.114,45.58,4.997
-5.362,46.001,4.993
-5.613,46.427,4.996
-5.868,46.855,4.998
-6.125,47.286,4.998
-6.385,47.72,4.996
-6.648,48.159,4.999
-6.913,48.599,4.995
-7.181,49.043,4.986
-7.451,49.49,4.997
-7.724,49.94,4.998
-7.998,50.394,4.996
-8.275,50.85,4.999
-8.553,51.309,4.998
-8.833,51.771,4.998
-9.114,52.236,4.991
-9.397,52.704,4.998
-9.681,53.176,4.985
-9.966,53.649,4.997
-10.252,54.125,4.996
-10.539,54.605,4.998
-10.825,55.086,4.999
-11.113,55.57,4.998
-11.401,56.058,4.999
-11.689,56.547,4.998
-11.976,57.038,4.995
-12.263,57.532,4.997
-12.551,58.029,4.998
-12.838,58.526,5.003
-13.123,59.027,4.998
-13.41,59.529,4.999
-13.694,60.033,4.999
-13.979,60.539,4.997
-14.263,61.046,4.997
-14.547,61.554,4.995
-14.829,62.064,4.998
-15.11,62.577,4.997
-15.391,63.089,5.004
-15.671,63.602,4.998
-15.951,64.118,4.997
-16.229,64.633,4.999
-16.508,65.151,4.997
-16.785,65.668,4.993
-17.061,66.186,4.998
-17.338,66.705,4.998
-17.613,67.224,4.997
-17.888,67.743,5.015
-18.162,68.262,4.997
-18.436,68.782,4.998
-18.709,69.301,4.998
-18.981,69.819,4.998
-19.252,70.339,4.998
-19.522,70.858,4.998
-19.792,71.375,4.999
-20.06,71.894,4.997
-20.327,72.412,5.002
-20.593,72.928,4.998
-20.857,73.445,4.997
-21.12,73.961,4.998
-21.381,74.477,4.998
-21.641,74.992,4.998
-21.899,75.505,4.998
-22.155,76.02,4.999
-22.408,76.533,4.998
-22.66,77.045,5.001
-22.909,77.557,4.998
-23.156,78.069,4.999
-23.4,78.578,4.997
-23.642,79.088,5.002
-23.881,79.598,4.998
-24.117,80.107,4.995
-24.351,80.614,4.999
-24.583,81.121,4.998
-24.811,81.627,4.998
